index;team_name_home;season_id;wl_home;total_home;total_away;total_victoire
531;Los Angeles Clippers;2007;W;13;10;23
533;Los Angeles Clippers;2008;W;11;8;19
534;Los Angeles Clippers;2009;W;21;8;29
536;Los Angeles Clippers;2010;W;23;9;32
538;Los Angeles Clippers;2011;W;24;16;40
540;Los Angeles Clippers;2013;W;34;23;57
542;Los Angeles Clippers;2014;W;30;26;56
544;Los Angeles Lakers;2000;W;31;25;56
546;Los Angeles Lakers;2001;W;34;24;58
548;Los Angeles Lakers;2002;W;31;19;50
550;Los Angeles Lakers;2003;W;34;22;56
552;Los Angeles Lakers;2004;W;22;12;34
554;Los Angeles Lakers;2005;W;27;18;45
556;Los Angeles Lakers;2006;W;25;17;42
558;Los Angeles Lakers;2007;W;30;27;57
560;Los Angeles Lakers;2008;W;36;29;65
562;Los Angeles Lakers;2009;W;34;23;57
564;Los Angeles Lakers;2010;W;30;27;57
566;Los Angeles Lakers;2011;W;26;15;41
569;Los Angeles Lakers;2013;W;14;13;27
571;Los Angeles Lakers;2014;W;12;9;21
573;Los Angeles Lakers;2015;W;12;5;17
575;Los Angeles Lakers;2016;W;17;9;26
577;Los Angeles Lakers;2017;W;20;15;35
578;Los Angeles Lakers;2018;W;22;15;37
580;Los Angeles Lakers;2019;W;25;27;52
582;Los Angeles Lakers;2020;W;21;21;42
584;Los Angeles Lakers;2021;W;21;12;33
586;Los Angeles Lakers;2022;W;23;20;43
589;Memphis Grizzlies;2001;W;15;8;23
591;Memphis Grizzlies;2002;W;20;8;28
592;Memphis Grizzlies;2003;W;31;19;50
594;Memphis Grizzlies;2004;W;26;19;45
596;Memphis Grizzlies;2005;W;30;19;49
599;Memphis Grizzlies;2006;W;14;8;22
601;Memphis Grizzlies;2007;W;14;8;22
603;Memphis Grizzlies;2008;W;16;8;24
604;Memphis Grizzlies;2009;W;23;17;40
606;Memphis Grizzlies;2010;W;30;16;46
608;Memphis Grizzlies;2011;W;26;15;41
610;Memphis Grizzlies;2013;W;27;23;50
612;Memphis Grizzlies;2014;W;31;24;55
614;Memphis Grizzlies;2015;W;26;16;42
616;Memphis Grizzlies;2016;W;24;19;43
619;Memphis Grizzlies;2017;W;16;6;22
620;Memphis Grizzlies;2018;W;21;12;33
622;Memphis Grizzlies;2019;W;20;14;34
625;Memphis Grizzlies;2020;W;18;20;38
626;Memphis Grizzlies;2021;W;30;26;56
628;Memphis Grizzlies;2022;W;35;16;51
630;Miami Heat;2000;W;29;21;50
633;Miami Heat;2001;W;18;18;36
635;Miami Heat;2002;W;16;9;25
636;Miami Heat;2003;W;29;13;42
638;Miami Heat;2004;W;35;24;59
640;Miami Heat;2005;W;31;21;52
642;Miami Heat;2006;W;27;17;44
645;Miami Heat;2007;W;9;6;15
646;Miami Heat;2008;W;28;15;43
648;Miami Heat;2009;W;24;23;47
650;Miami Heat;2010;W;30;28;58
652;Miami Heat;2011;W;28;18;46
654;Miami Heat;2013;W;32;22;54
657;Miami Heat;2014;W;20;17;37
658;Miami Heat;2015;W;28;20;48
660;Miami Heat;2016;W;23;18;41
662;Miami Heat;2017;W;26;18;44
665;Miami Heat;2018;W;19;20;39
666;Miami Heat;2019;W;29;15;44
668;Miami Heat;2020;W;21;19;40
670;Miami Heat;2021;W;29;24;53
672;Miami Heat;2022;W;27;17;44
